antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"time_of_day_Evening, weather_bucket_Clouds, weekday_type_Weekend",congestion_level_Medium,0.017572396796056686,0.25000616142945165,0.014294516327788047,0.8134642356241234,3.2537767508328868,1.0,0.00990130885769072,4.020643660908277,0.7050543340040379,0.05643670331808893,0.7512836042341299,0.43532044588777147
"time_of_day_Morning Rush, weather_bucket_Clouds, weekday_type_Weekday",congestion_level_Severe,0.039211337030191,0.24995686999383857,0.03186691312384473,0.8126964173475801,3.251346591784467,1.0,0.022065770051504688,4.004424898791284,0.7206945233366805,0.12385057471264366,0.7502762505792417,0.47009303218000187
"time_of_day_Midday, weather_bucket_Clear, weekday_type_Weekend",congestion_level_High,0.02168823166974738,0.25003080714725817,0.017621688231669746,0.8124999999999999,3.2495995564317393,1.0,0.012198962161686082,3.999835695214621,0.7076167314232562,0.06935014548981572,0.7499897305290829,0.44148903400689987
"time_of_day_Evening, weather_bucket_Clear, weekday_type_Weekday",congestion_level_Medium,0.04505237215033888,0.25000616142945165,0.036401725200246454,0.8079868708971553,3.2318678318860483,1.0,0.0251383545756491,3.905950817398751,0.7231615494149073,0.14073368270605047,0.7439803912671971,0.47679509159999717
"time_of_day_Midday, weekday_type_Weekend",congestion_level_High,0.07127541589648799,0.25003080714725817,0.0574245224892175,0.8056708160442599,3.2222861863968304,1.0,0.03960347272286209,3.859272074252898,0.7425897243768008,0.21761464462501165,0.7408837778835309,0.5176703020586011
"time_of_day_Night, weather_bucket_LowVisibility, weekday_type_Weekday",congestion_level_Low,0.026050523721503387,0.25000616142945165,0.020677757239679604,0.793755912961211,3.1749454030363893,1.0,0.014164965800839669,3.6364380154544476,0.7033567660753075,0.08096892491796949,0.7250056248036915,0.43823245174874426
"time_of_day_Midday, weather_bucket_Precipitation, weekday_type_Weekend",congestion_level_High,0.012224276032039433,0.25003080714725817,0.009537892791127541,0.780241935483871,3.1205831968711744,1.0,0.006481447188045839,3.4127038500455047,0.6879568536894156,0.037741369221767115,0.7069772110502158,0.40919440293168413
"time_of_day_Morning Rush, weather_bucket_Precipitation, weekday_type_Weekday",congestion_level_Severe,0.022895871842267407,0.24995686999383857,0.0177449168207024,0.7750269106566199,3.1006425655583074,1.0,0.012021936359229178,3.333923769261835,0.6933613171007864,0.06955849676359771,0.7000531298226383,0.42300941273316106
"time_of_day_Evening Rush, weather_bucket_Clouds, weekday_type_Weekend",congestion_level_High,0.021072088724584104,0.25003080714725817,0.016069008009858287,0.7625730994152047,3.0499165607463707,1.0,0.010800336657771886,3.158737240832977,0.6865900645005839,0.06300734441437958,0.6834177952274706,0.4134206058929153
"time_of_day_Evening Rush, weather_bucket_Clear, weekday_type_Weekend",congestion_level_High,0.014688847812692545,0.25003080714725817,0.01106592729513247,0.7533557046979865,3.013051524703874,1.0,0.007393262820461715,3.0406914213621365,0.6780706307336964,0.04362611737271667,0.671127430763089,0.39880697999808146
